Id,SalePrice
2658,131687.44850823947
2718,152180.03035675487
2414,189359.84164647295
1989,111207.16291092549
625,170407.81266374548
333,92787.36459734592
1327,103452.48149183896
858,166307.85119442223
95,200250.91049517924
1568,170752.53370139358
2482,164833.12668428177
1364,114127.84816061129
2584,148278.2292928327
818,284883.1770451531
2673,149072.0401798875
2089,107446.65030715223
1297,116394.9581578908
790,118076.37909743178
2616,194797.69513614278
720,181904.47860379503
222,142942.9990346855
557,124351.20699863425
1148,198394.33314024308
2766,156722.25777353457
534,169712.81796751925
1452,127389.37324199798
630,131853.54499690497
2648,136803.14282435455
125,160917.700255993
1904,67266.98308736869
1670,106519.6602728512
756,87351.09447753224
717,206122.95798618533
1032,151817.83892834088
852,196883.60232794515
1731,157610.3775653661
2639,107635.285193711
2071,95792.4699315236
1267,132955.88260702728
1851,187168.34990539594
567,150760.98499228375
2439,208368.77771912958
1898,153352.8934657343
647,157063.41829233058
2256,234254.88782619682
979,103086.21921917691
1444,220439.57023566368
2485,125613.92778608284
157,132408.79515306387
88,133938.46093451235
2003,106362.48718243468
186,210428.69843898932
1425,237510.61661904858
2695,113194.11720737159
738,109787.58233130458
395,149972.03678804962
1353,175447.83629334837
1878,140506.99975918257
390,157164.54276632753
1456,249291.63762800116
1103,289974.530739908
1387,127364.98824201863
2070,136767.59358641354
1199,170408.5979326046
2479,171620.36615964526
501,293217.4555859078
2362,93572.10657633399
1718,201171.23920638845
2188,82005.78112671275
1483,148920.793408361
2557,96868.12593458223
437,376866.6072700352
2224,183682.14703741422
1628,178817.06230484953
397,146819.92114954346
587,184473.28423243618
2182,462113.2514886793
971,134948.43071976435
2611,142112.04138218117
1887,105387.4871454906
2399,371923.04030012025
2148,195121.8284871766
304,94870.78171426985
1997,122556.41819071193
2817,129269.16029787577
1431,191134.31198029438
427,342910.47268310667
263,134089.1231926819
598,165559.9264939566
2895,245747.48249488903
687,138881.3495876489
1822,139579.4055423606
2191,118474.23140130616
179,108410.1974237254
1009,234337.49223611242
2010,128064.09428929265
1991,130975.31430952477
1411,144253.57423016074
1721,229181.35982604834
1144,191334.31471858223
